DATE,PCODE
20160717,110
20160718,100
20160719,0
20160720,0
20160721,0
20160722,1
20160723,11
20160724,110
20160725,100
20160726,0
20160727,0
20160728,0
20160729,1
20160730,11
20160731,110
20160801,100
20160802,0
20160803,0
20160804,0
20160805,1
20160806,11
20160807,110
20160808,100
20160809,0
20160810,0
20160811,0
20160812,1
20160813,12
20160814,111
20160815,110
20160816,100
20160817,0
20160818,0
20160819,1
20160820,11
20160821,110
20160822,100
20160823,0
20160824,0
20160825,0
20160826,1
20160827,11
20160828,110
20160829,100
20160830,0
20160831,0
20160901,0
20160902,1
20160903,11
20160904,110
20160905,100
20160906,0
20160907,0
20160908,0
20160909,1
20160910,11
20160911,110
20160912,100
20160913,1
20160914,A-1
20160915,A0
20160916,A+1
20160917,A+2
20160918,A
20160919,100
20160920,0
20160921,0
20160922,0
20160923,1
20160924,11
20160925,110
20160926,100
20160927,0
20160928,0
20160929,0
20160930,1
20161001,12
20161002,111
20161003,110
20161004,100
20161005,0
20161006,0
20161007,1
20161008,11
20161009,110
20161010,100
20161011,0
20161012,0
20161013,0
20161014,1
20161015,11
20161016,110
20161017,100
20161018,0
20161019,0
20161020,0
20161021,1
20161022,11
20161023,110
20161024,100
20161025,0
20161026,0
20161027,0
20161028,1
20161029,11
20161030,110
20161031,100
20161101,0
20161102,0
20161103,0
20161104,1
20161105,11
20161106,110
20161107,100
20161108,0
20161109,0
20161110,0
20161111,1
20161112,11
20161113,110
20161114,100
20161115,0
20161116,0
20161117,0
20161118,1
20161119,11
20161120,110
20161121,100
20161122,0
20161123,0
20161124,0
20161125,1
20161126,11
20161127,110
20161128,100
20161129,0
20161130,0
20161201,0
20161202,1
20161203,11
20161204,110
20161205,100
20161206,0
20161207,0
20161208,0
20161209,1
20161210,11
20161211,110
20161212,100
20161213,0
20161214,0
20161215,0
20161216,1
20161217,11
20161218,110
20161219,100
20161220,0
20161221,0
20161222,0
20161223,1
20161224,11
20161225,110
20161226,100
20161227,0
20161228,0
20161229,0
20161230,1
20161231,11
20170101,110
20170102,100
20170103,0
20170104,0
20170105,0
20170106,1
20170107,11
20170108,110
20170109,100
20170110,0
20170111,0
20170112,0
20170113,1
20170114,11
20170115,110
20170116,100
20170117,0
20170118,0
20170119,0
20170120,1
20170121,11
20170122,110
20170123,100
20170124,0
20170125,0
20170126,1
20170127,A-1
20170128,A0
20170129,A+1
20170130,A+2
20170131,A
20170201,0
20170202,0
20170203,1
20170204,11
20170205,110
20170206,100
20170207,0
20170208,0
20170209,0
20170210,1
20170211,11
20170212,110
20170213,100
20170214,0
20170215,0
20170216,0
20170217,1
20170218,11
20170219,110
20170220,100
20170221,0
20170222,0
20170223,0
20170224,1
20170225,11
20170226,110
20170227,100
20170228,1
20170301,10
20170302,100
20170303,1
20170304,11
20170305,110
20170306,100
20170307,0
20170308,0
20170309,0
20170310,1
20170311,11
20170312,110
20170313,100
20170314,0
20170315,0
20170316,0
20170317,1
20170318,11
20170319,110
20170320,100
20170321,0
20170322,0
20170323,0
20170324,1
20170325,11
20170326,110
20170327,100
20170328,0
20170329,0
20170330,0
20170331,1
20170401,11
20170402,110
20170403,100
20170404,0
20170405,0
20170406,0
20170407,1
20170408,11
20170409,110
20170410,100
20170411,0
20170412,0
20170413,0
20170414,1
20170415,11
20170416,110
20170417,100
20170418,0
20170419,0
20170420,0
20170421,1
20170422,11
20170423,110
20170424,100
20170425,0
20170426,0
20170427,0
20170428,1
20170429,11
20170430,110
